StatisticCrimeGroupCode,StatisticCrimeGroupName,StatisticCrimeTypeCode,StatisticCrimeTypeName,CrimeName,SensitivityFlag
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,שמוש לא מוסמך במדים רשמיים,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,הסתרת מידע בידי עובד ציבור,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,פגיעה ביחסי חוץ,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,גיוס תושב בישראל לכוחות חוץ,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,נשבע לעבור עבירה חמורה,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,שבועה לעבור עבירה,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,שבועה להפריע שלום הציבור,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,אמון צבאי בלתי חוקי,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,נוכחות באמון צבאי ללא חוקי,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,המתאמן אימון צבאי בנגוד לחוק,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,רכישת/החזקת חלק של נשק או תחמושת,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,נשיאת/הובלת חלק של נשק או תחמושת,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,החזקת נשק בלא רשות על פי דין,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,החזקת חלק מהותי בנשק,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,"החזקת חלק, אבזר או תחמושת שאינם חלק מהותי בנשק",
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,רכישת/החזקת נשק שלא כדין,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,נשיאת/הובלת נשק שלא כדין,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,"רכישה, נשיאה או הובלת נשק בלא רשות על פי דין",
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,"רכישה, נשיאה או הובלת חלק מהותי בנשק",
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,"רכישה, נשיאה או הובלת חלק לא מהותי בנשק",
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,פרסום ידיעות הגורמות בהלה,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,הסתה נגד מדינה ידידותית,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,פגיעה בדגל מדינה ידידותית,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,הכנת עבירה בחומרים מסוכנים,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,תקנות שעת חרום (אזורי בטחון) תש'ט - 1949,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,עבירה על פי צו המושל הצבאי מכח מנשר סדרי שלטון ומש,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,החזקת כלי יריה 52 (א) מצו 378 מהוראות הבטחון 1970,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,ידיעות כוזבות 74 מצו 378 מהוראות הבטחון 1970,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,שהות בלילה בישראל ללא היתר 89 א מצו בדבר הבטחון,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,שנוי מבנה הרכב 380 מצו 358 בדבר הוראות הבטחון 19,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,צו בדבר הספקת חשמל (הוראת שעה) תשמ'ח - 1988,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,פגיעה בחייל 66 לצו 358 מהוראות הבטחון 1970,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,סיוע למבוקשים על פי ס' 57 לצו בדבר הוראות בטחון -,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,חבלה במתקן צה'ל 51ב לצו 378 מהוראות הביטחון 1970,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,עברות נגד קיום הסדר הציבורי 53 לצו 378 להוראות הבי,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,כניסה לשטח מוגבל 70 (א) לצו 378 מהוראות הביטחון 19,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,כניסה לישראל עם ת.ז. ירוקה 86(ב) לצו בדבר הוראות ב,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,צו 363 בדבר הגנה על הטבע (יהודה ושומרון) תשכ'ט - 1,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,צו בדבר העסקת עובדים ביו'ש (967),
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,"צו בדבר העברת טובין (יו'ש) (מס' 1252),התשמ'ח-1988",
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,גיוס ישראלי לכח מזוין של המועצה,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,התגיסות ישראלי לשרת בכח של המועצה,1
